36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1254;4254;7254;10254;13254;16254;19254;22254;],[0;3000;6000;9000;12000;15000;18000;21000;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;22254;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1254;4254;7254;10254;13254;16254;19254;22254;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1252;4252;7252;10252;13252;16252;19252;22252;],[0;3000;6000;9000;12000;15000;18000;21000;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;22252;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1252;4252;7252;10252;13252;16252;19252;22252;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1259;4259;7259;10259;13259;16259;19259;22259;],[0;3000;6000;9000;12000;15000;18000;21000;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;22259;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1259;4259;7259;10259;13259;16259;19259;22259;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1276;4276;7276;10276;13276;16276;19276;22276;],[0;3000;6000;9000;12000;15000;18000;21000;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;22276;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1276;4276;7276;10276;13276;16276;19276;22276;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315;4315;7315;10315;13315;16315;19315;22315;],[0;3000;6000;9000;12000;15000;18000;21000;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;22315;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1315;4315;7315;10315;13315;16315;19315;22315;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1357;4357;7357;10357;13357;16357;19357;22357;],[0;3000;6000;9000;12000;15000;18000;21000;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;22357;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1357;4357;7357;10357;13357;16357;19357;22357;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1405;4405;7405;10405;13405;16405;19405;22405;],[0;3000;6000;9000;12000;15000;18000;21000;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;22405;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1405;4405;7405;10405;13405;16405;19405;22405;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1458;4458;7458;10458;13458;16458;19458;22458;],[0;3000;6000;9000;12000;15000;18000;21000;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;22458;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1458;4458;7458;10458;13458;16458;19458;22458;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1492;4492;7492;10492;13492;16492;19492;22492;],[0;3000;6000;9000;12000;15000;18000;21000;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;22492;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1492;4492;7492;10492;13492;16492;19492;22492;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563;4563;7563;10563;13563;16563;19563;22563;],[0;3000;6000;9000;12000;15000;18000;21000;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;22563;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563;4563;7563;10563;13563;16563;19563;22563;]
36900000,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1588;4588;7588;10588;13588;16588;19588;22588;],[0;3000;6000;9000;12000;15000;18000;21000;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;22588;],[12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;],[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1588;4588;7588;10588;13588;16588;19588;22588;]
